Step;Time/s;X;Sv;myMemory/Byte;currPmax;ntotalRXFront;nextSlotNeverActiveRXFront;nCurrentlyActive;ntotalFullRXList;nextSlotToFullRX;ntotalRecyclingList;nextSlotThatBecomesRecycled;firstNotRecycledYet
0;0;0.000118375;947;8.60809e+07;1;1600000;25546;947;240000;947;480000;0;0
1;1e-06;0.000118375;24599;8.60847e+07;1;1600000;25546;24599;240000;0;480000;0;947
2;1.52048;0.000118375;24599;8.60847e+07;1;1600000;25546;24599;240000;0;480000;0;947
3;3.04096;0.000118375;24599;8.60847e+07;1;1600000;25546;24599;240000;0;480000;0;947
4;4.56144;0.000118375;24599;8.60847e+07;1;1600000;25546;24599;240000;0;480000;0;947
5;6.08192;0.000118375;24599;8.60847e+07;1;1600000;25546;24599;240000;0;480000;0;947
6;7.6024;0.000118375;24599;8.60847e+07;1;1600000;25546;24599;240000;0;480000;0;947
7;9.12288;0.000118375;24599;8.60847e+07;1;1600000;25546;24599;240000;0;480000;0;947
8;10.6434;0.000118375;24599;8.60847e+07;1;1600000;25546;24599;240000;0;480000;0;947
9;12.1638;0.000118375;24599;8.60847e+07;1;1600000;25546;24599;240000;0;480000;0;947
10;13.6843;0.00082775;24599;8.60847e+07;1;1600000;75522;24599;240000;5675;480000;947;947
11;15.2048;0.00082775;69847;8.60847e+07;1;1600000;75522;69847;240000;0;480000;0;5675
12;16.7253;0.00082775;69847;8.60847e+07;1;1600000;75522;69847;240000;0;480000;0;5675
13;18.2458;0.002247;69847;8.60847e+07;1;1600000;103691;69847;240000;11354;480000;5675;5675
14;19.7662;0.002247;92337;8.60847e+07;1;1600000;103691;92337;240000;0;480000;0;11354
15;21.2867;0.002247;92337;8.60847e+07;1;1600000;103691;92337;240000;0;480000;0;11354
16;22.8072;0.00319325;92337;8.60847e+07;1;1600000;103691;92337;240000;7570;480000;7505;11354
17;24.3277;0.00319325;92272;8.60847e+07;1;1600000;103691;92272;240000;0;480000;0;11419
18;25.8482;0.00319325;92272;8.60847e+07;1;1600000;103691;92272;240000;0;480000;0;11419
19;27.3686;0.00319325;92272;8.60847e+07;1;1600000;103691;92272;240000;0;480000;0;11419
20;28.8891;0.00390038;92272;8.60847e+07;1;1600000;142748;92272;240000;5657;480000;11419;11419
21;30.4096;0.00390038;137091;8.60847e+07;1;1600000;142748;137091;240000;0;480000;0;5657
22;31.9301;0.00390038;137091;8.60847e+07;1;1600000;142748;137091;240000;0;480000;0;5657
23;33.4505;0.0067295;137091;8.60847e+07;1;1600000;203965;137091;240000;22633;480000;5657;5657
24;34.971;0.0067295;181332;8.60847e+07;1;1600000;203965;181332;240000;0;480000;0;22633
25;36.4915;0.0067295;181332;8.60847e+07;1;1600000;203965;181332;240000;0;480000;0;22633
26;38.012;0.0109694;181332;8.60847e+07;1;1600000;236722;181332;240000;33919;480000;22633;22633
27;39.5325;0.0109694;202803;8.60885e+07;1;1600000;236722;202803;240000;0;480000;0;33919
28;41.0529;0.0109694;202803;8.60885e+07;1;1600000;236722;202803;240000;0;480000;0;33919
29;42.5734;0.0137891;202803;8.60885e+07;1;1600000;236722;202803;240000;22558;480000;22026;33919
